hour,price,hour,value,gasUsed
2023-08-04 22:00:00.000 UTC,1830.28,2023-08-04 22:00:00.000 UTC,3399.6162969366815,1.606250122e+09
2023-02-09 11:00:00.000 UTC,1637.28,2023-02-09 11:00:00.000 UTC,2546.4809899998527,1.306908609e+09
2023-06-27 10:00:00.000 UTC,1888.98,2023-06-27 10:00:00.000 UTC,3062.705525646821,1.33328608e+09
2023-03-07 01:00:00.000 UTC,1573.76,2023-03-07 01:00:00.000 UTC,7918.849995767597,1.880801704e+09
2023-03-10 18:00:00.000 UTC,1412.66,2023-03-10 18:00:00.000 UTC,6534.635776272661,1.403210777e+09
2023-09-17 07:00:00.000 UTC,1631.13,2023-09-17 07:00:00.000 UTC,3170.8627744625987,1.688971343e+09
2023-06-03 21:00:00.000 UTC,1890.36,2023-06-03 21:00:00.000 UTC,1933.3512355393107,1.590685591e+09
2023-05-16 09:00:00.000 UTC,1821.36,2023-05-16 09:00:00.000 UTC,3596.6900182203112,1.563346224e+09
2023-01-03 16:00:00.000 UTC,1212.93,2023-01-03 16:00:00.000 UTC,4695.975839255947,1.648401475e+09
2023-05-05 22:00:00.000 UTC,1995.2,2023-05-05 22:00:00.000 UTC,4685.780490977866,2.161741822e+09
2023-04-12 00:00:00.000 UTC,1897.53,2023-04-12 00:00:00.000 UTC,4100.519842200978,1.35957717e+09
2023-01-16 19:00:00.000 UTC,1596.39,2023-01-16 19:00:00.000 UTC,8706.73222593893,1.547106661e+09
2023-01-08 02:00:00.000 UTC,1263.2,2023-01-08 02:00:00.000 UTC,1511.987490315288,1.297286184e+09
2023-05-22 06:00:00.000 UTC,1815.14,2023-05-22 06:00:00.000 UTC,7445.69567037529,1.664149955e+09
2023-09-02 23:00:00.000 UTC,1637.86,2023-09-02 23:00:00.000 UTC,1728.5636197802658,1.554943584e+09
2023-01-10 16:00:00.000 UTC,1334.29,2023-01-10 16:00:00.000 UTC,7985.717899412082,1.842285743e+09
2023-03-27 02:00:00.000 UTC,1766.09,2023-03-27 02:00:00.000 UTC,3183.074465563634,1.792177636e+09
2023-01-10 12:00:00.000 UTC,1329.77,2023-01-10 12:00:00.000 UTC,6362.210482982952,1.482408722e+09
2023-01-09 10:00:00.000 UTC,1322.45,2023-01-09 10:00:00.000 UTC,5105.847271965154,1.173265895e+09
2023-02-11 12:00:00.000 UTC,1524.2,2023-02-11 12:00:00.000 UTC,3286.6902478854113,1.385787766e+09
2023-04-14 20:00:00.000 UTC,2112.53,2023-04-14 20:00:00.000 UTC,4295.255606828204,1.4232739e+09
2023-08-18 04:00:00.000 UTC,1679.9,2023-08-18 04:00:00.000 UTC,5755.4534537672225,1.539768203e+09
2023-08-08 00:00:00.000 UTC,1829.39,2023-08-08 00:00:00.000 UTC,2060.8758777542644,1.587777476e+09
2023-06-14 07:00:00.000 UTC,1743.19,2023-06-14 07:00:00.000 UTC,5118.357703620591,1.619256524e+09
2023-06-21 09:00:00.000 UTC,1813.74,2023-06-21 09:00:00.000 UTC,7248.265046998495,1.47389597e+09
2023-01-14 05:00:00.000 UTC,1553.31,2023-01-14 05:00:00.000 UTC,8201.6584504126,1.438535007e+09
2023-03-18 18:00:00.000 UTC,1792.67,2023-03-18 18:00:00.000 UTC,9195.259203115005,1.516493833e+09
2023-05-23 08:00:00.000 UTC,1857.59,2023-05-23 08:00:00.000 UTC,8340.716996263254,1.695347662e+09
2023-06-06 13:00:00.000 UTC,1815.22,2023-06-06 13:00:00.000 UTC,4907.056964108964,1.458607217e+09
2023-01-06 18:00:00.000 UTC,1267.39,2023-01-06 18:00:00.000 UTC,2738.8362340372914,2.408699857e+09
2023-05-28 20:00:00.000 UTC,1854.34,2023-05-28 20:00:00.000 UTC,1657.751135291126,1.820199712e+09
2023-03-22 16:00:00.000 UTC,1809.06,2023-03-22 16:00:00.000 UTC,11120.3640853345,1.525517845e+09
2023-08-30 15:00:00.000 UTC,1706.9,2023-08-30 15:00:00.000 UTC,4251.635122975849,1.679655606e+09
2023-07-20 07:00:00.000 UTC,1914.78,2023-07-20 07:00:00.000 UTC,2920.3322071770963,1.521440057e+09
2023-06-03 23:00:00.000 UTC,1893.48,2023-06-03 23:00:00.000 UTC,2993.460924803688,1.55289176e+09
2023-01-02 05:00:00.000 UTC,1202.99,2023-01-02 05:00:00.000 UTC,1100.974611092185,1.343266151e+09
2023-05-19 15:00:00.000 UTC,1828.16,2023-05-19 15:00:00.000 UTC,4874.030419164404,1.667490946e+09
2023-02-11 21:00:00.000 UTC,1531.16,2023-02-11 21:00:00.000 UTC,1397.191336198343,1.50844992e+09
2023-03-06 00:00:00.000 UTC,1569.32,2023-03-06 00:00:00.000 UTC,2427.5486103386515,1.780952414e+09
2023-02-06 01:00:00.000 UTC,1639.68,2023-02-06 01:00:00.000 UTC,2940.036942785607,1.388283695e+09
2023-06-19 07:00:00.000 UTC,1727.2,2023-06-19 07:00:00.000 UTC,7991.951016310861,1.36979205e+09
2023-05-29 13:00:00.000 UTC,1901.7,2023-05-29 13:00:00.000 UTC,3420.121187000934,1.886704163e+09
2023-06-28 10:00:00.000 UTC,1863.44,2023-06-28 10:00:00.000 UTC,3664.346611205449,1.749077283e+09
2023-05-01 11:00:00.000 UTC,1849.65,2023-05-01 11:00:00.000 UTC,10042.815652239326,1.847409296e+09
2023-04-16 18:00:00.000 UTC,2107.4,2023-04-16 18:00:00.000 UTC,4315.276239699834,1.301912511e+09
2023-04-21 03:00:00.000 UTC,1951.04,2023-04-21 03:00:00.000 UTC,5125.114760096734,1.424243853e+09
2023-09-07 04:00:00.000 UTC,1640.28,2023-09-07 04:00:00.000 UTC,3103.4161525770132,1.429924357e+09
2023-03-18 02:00:00.000 UTC,1820.65,2023-03-18 02:00:00.000 UTC,9699.749884278252,1.347699301e+09
2023-01-16 09:00:00.000 UTC,1542.97,2023-01-16 09:00:00.000 UTC,8729.231637152468,1.071822947e+09
2023-05-15 06:00:00.000 UTC,1834.12,2023-05-15 06:00:00.000 UTC,9377.787775395167,1.926182681e+09
2023-09-17 23:00:00.000 UTC,1623.58,2023-09-17 23:00:00.000 UTC,1347.6872155358444,1.198624781e+09
2023-09-08 17:00:00.000 UTC,1629.91,2023-09-08 17:00:00.000 UTC,4188.635673772415,1.809248829e+09
2023-01-27 16:00:00.000 UTC,1589.82,2023-01-27 16:00:00.000 UTC,10033.926400161758,2.033809848e+09
2023-02-27 21:00:00.000 UTC,1628.14,2023-02-27 21:00:00.000 UTC,2838.3833290118814,1.603483945e+09
2023-04-03 19:00:00.000 UTC,1832.67,2023-04-03 19:00:00.000 UTC,10997.29197172787,1.553330636e+09
2023-06-13 19:00:00.000 UTC,1744.95,2023-06-13 19:00:00.000 UTC,3747.4950748075207,1.384161377e+09
2023-08-17 07:00:00.000 UTC,1802.58,2023-08-17 07:00:00.000 UTC,4745.782443632909,1.439036104e+09
2023-09-09 08:00:00.000 UTC,1635.21,2023-09-09 08:00:00.000 UTC,2794.235680981455,1.538230212e+09
2023-03-12 23:00:00.000 UTC,1586.87,2023-03-12 23:00:00.000 UTC,8599.682924933657,1.06913567e+09
2023-02-28 16:00:00.000 UTC,1643.2,2023-02-28 16:00:00.000 UTC,5510.939236013295,1.479688684e+09
2023-01-23 07:00:00.000 UTC,1637.03,2023-01-23 07:00:00.000 UTC,1997.4490069501608,1.032290692e+09
2023-08-27 08:00:00.000 UTC,1651.46,2023-08-27 08:00:00.000 UTC,1571.494876592571,1.413986405e+09
2023-07-29 18:00:00.000 UTC,1878.92,2023-07-29 18:00:00.000 UTC,1292.5935212865243,1.552240171e+09
2023-09-09 20:00:00.000 UTC,1635.52,2023-09-09 20:00:00.000 UTC,885.2010014670573,1.758065544e+09
2023-09-13 18:00:00.000 UTC,1602.28,2023-09-13 18:00:00.000 UTC,6217.844540156386,1.566519512e+09
2023-03-28 23:00:00.000 UTC,1776.37,2023-03-28 23:00:00.000 UTC,7670.973683157805,1.807077277e+09
2023-02-27 13:00:00.000 UTC,1665.13,2023-02-27 13:00:00.000 UTC,4748.933695014236,1.516325011e+09
2023-02-09 04:00:00.000 UTC,1631,2023-02-09 04:00:00.000 UTC,5775.4080649301,1.344520585e+09
2023-06-22 07:00:00.000 UTC,1910.57,2023-06-22 07:00:00.000 UTC,8739.532437349286,1.344875767e+09
2023-05-31 23:00:00.000 UTC,1874.5,2023-05-31 23:00:00.000 UTC,7236.957439570508,1.591001449e+09
2023-01-11 14:00:00.000 UTC,1333.17,2023-01-11 14:00:00.000 UTC,3631.653262428971,1.579854866e+09
2023-02-28 18:00:00.000 UTC,1642.19,2023-02-28 18:00:00.000 UTC,7672.558056615859,1.55236961e+09
2023-04-17 02:00:00.000 UTC,2106.3,2023-04-17 02:00:00.000 UTC,3125.112643855975,1.523728783e+09
2023-08-28 21:00:00.000 UTC,1648.13,2023-08-28 21:00:00.000 UTC,1739.3903007456602,1.866230285e+09
2023-01-21 15:00:00.000 UTC,1661.33,2023-01-21 15:00:00.000 UTC,3209.76625012588,1.337515446e+09
2023-09-10 21:00:00.000 UTC,1625.79,2023-09-10 21:00:00.000 UTC,2487.0405143798644,1.591407626e+09
2023-04-20 13:00:00.000 UTC,1974.5,2023-04-20 13:00:00.000 UTC,8579.491627334777,1.651315596e+09
